# Stable key<TAB>Russian translation
adaptive_gable.name	BuildWorks: адаптивная фронтонная панель
adaptive_gable.description	Оригинальная изменяемая панель для сложных скатов.
catalog.category.blueprints	ЧЕРТЕЖИ
catalog.category.favorites	ИЗБРАННОЕ
catalog.group.all	ВСЕ
catalog.group.vanilla	ВАНИЛЬНОЕ
catalog.group.blueprints	ЧЕРТЕЖИ
catalog.group.actions	ДЕЙСТВИЯ
catalog.group.wood	ДЕРЕВО
catalog.group.core_wood	КРУГЛЯК
catalog.group.dark_wood	ТЁМНОЕ ДЕРЕВО
catalog.group.ash_wood	ЯСЕНЬ
catalog.group.stone	КАМЕНЬ
catalog.group.black_marble	ЧЁРНЫЙ МРАМОР
catalog.group.grausten	ГРАУСТЕН
catalog.group.metal	МЕТАЛЛ
catalog.group.glass	СТЕКЛО
catalog.group.other	ПРОЧЕЕ
blueprint.category.default	ПРОЧЕЕ
blueprint.default_name	Группа {0}
blueprint.piece.description	{0} деталей. ЛКМ установить. Редактирование — из библиотеки чертежей.
blueprint.scene.chain_aim	Наведи курсор на деталь опорной цепи или кольца.
blueprint.scene.choose_support	Выбери опору, а не исходную деталь.
blueprint.scene.edge_pair_missing	У выбранного ребра нет пары штатных точек соединения.
blueprint.scene.chain_too_short	Нужна цепь минимум из двух одинаковых опор.
blueprint.scene.chain_invalid	Эта опора не входит в простую цепь или кольцо без развилок.
blueprint.scene.preview_piece_missing	Не найдена деталь предпросмотра: {0}
blueprint.scene.piece_missing	Не найдена деталь: {0}
blueprint.scene.show_failed	Не удалось показать деталь: {0}
blueprint.snap.middle	СЕРЕДИНА
blueprint.snap.bottom	НИЗ
blueprint.snap.top	ВЕРХ
blueprint.snap.center	ЦЕНТР
blueprint.snap.left	ЛЕВО
blueprint.snap.right	ПРАВО
blueprint.snap.back	НАЗАД
blueprint.snap.front	ВПЕРЁД
blueprint.snap.point	ТОЧКА
editor.open_failed	BuildWorks: не удалось открыть редактор: {0}
store.invalid_metadata	Имя или категория чертежа имеют неверную длину.
store.category_limit	Достигнут лимит категорий.
store.invalid_composition	Некорректный состав чертежа.
store.blueprint_limit	Достигнут лимит 32 чертежа.
store.invalid_parts_or_groups	Чертёж содержит некорректные детали или группы.
store.primary_part_missing	Главная деталь не найдена в чертеже.
store.primary_group_missing	Главная группа не найдена в чертеже.
store.invalid_anchor	Чертёж содержит некорректную точку.
store.invalid_name	Имя должно содержать от 1 до 48 символов.
store.category_missing	Категория не найдена.
store.invalid_category_name	Название категории должно содержать от 1 до 24 символов.
store.duplicate_category	Такая категория уже существует.
store.protected_category	Эту категорию удалить нельзя.
store.invalid_preview	Некорректный ракурс превью.
store.unknown_version	Неизвестная версия файла blueprints.json.
store.corrupt_entries	Файл blueprints.json содержит повреждённые или повторяющиеся записи.
store.corrupt_file	Файл blueprints.json повреждён: {0}
store.verify_file_failed	Проверка файла чертежей после записи не пройдена.
store.verify_data_failed	Проверка данных чертежей после записи не пройдена.
store.blueprint_missing	Чертёж не найден.
catalog.title.blueprints	ЧЕРТЕЖИ  {0}
catalog.title.catalog	КАТАЛОГ  {0}
catalog.action.repair	РЕМОНТ
catalog.action.search	ПОИСК
catalog.action.search_value	ПОИСК: {0}
