# Stable key<TAB>English fallback
adaptive_gable.name	BuildWorks: adaptive gable panel
adaptive_gable.description	An original adjustable panel for complex roof slopes.
catalog.category.blueprints	BLUEPRINTS
catalog.category.favorites	FAVORITES
catalog.group.all	ALL
catalog.group.vanilla	VANILLA
catalog.group.blueprints	BLUEPRINTS
catalog.group.actions	ACTIONS
catalog.group.wood	WOOD
catalog.group.core_wood	CORE WOOD
catalog.group.dark_wood	DARK WOOD
catalog.group.ash_wood	ASH WOOD
catalog.group.stone	STONE
catalog.group.black_marble	BLACK MARBLE
catalog.group.grausten	GRAUSTEN
catalog.group.metal	METAL
catalog.group.glass	GLASS
catalog.group.other	OTHER
blueprint.category.default	OTHER
blueprint.default_name	Group {0}
blueprint.piece.description	{0} parts. LMB to place. Edit from the blueprint library.
blueprint.scene.chain_aim	Aim at a part in the support chain or ring.
blueprint.scene.choose_support	Choose a support, not the source part.
blueprint.scene.edge_pair_missing	The selected edge has no pair of native snap points.
blueprint.scene.chain_too_short	A chain needs at least two identical supports.
blueprint.scene.chain_invalid	This support is not part of a simple chain or branch-free ring.
blueprint.scene.preview_piece_missing	Preview part not found: {0}
blueprint.scene.piece_missing	Part not found: {0}
blueprint.scene.show_failed	Could not display the part: {0}
blueprint.snap.middle	MIDDLE
blueprint.snap.bottom	BOTTOM
blueprint.snap.top	TOP
blueprint.snap.center	CENTER
blueprint.snap.left	LEFT
blueprint.snap.right	RIGHT
blueprint.snap.back	BACK
blueprint.snap.front	FRONT
blueprint.snap.point	POINT
editor.open_failed	BuildWorks: could not open the editor: {0}
store.invalid_metadata	Blueprint name or category has an invalid length.
store.category_limit	The category limit has been reached.
store.invalid_composition	The blueprint composition is invalid.
store.blueprint_limit	The limit of 32 blueprints has been reached.
store.invalid_parts_or_groups	The blueprint contains invalid parts or groups.
store.primary_part_missing	The primary part was not found in the blueprint.
store.primary_group_missing	The primary group was not found in the blueprint.
store.invalid_anchor	The blueprint contains an invalid snap point.
store.invalid_name	The name must contain 1 to 48 characters.
store.category_missing	The category was not found.
store.invalid_category_name	The category name must contain 1 to 24 characters.
store.duplicate_category	That category already exists.
store.protected_category	This category cannot be deleted.
store.invalid_preview	The preview camera values are invalid.
store.unknown_version	Unknown blueprints.json version.
store.corrupt_entries	blueprints.json contains damaged or duplicate entries.
store.corrupt_file	blueprints.json is damaged: {0}
store.verify_file_failed	Blueprint file verification failed after writing.
store.verify_data_failed	Blueprint data verification failed after writing.
store.blueprint_missing	Blueprint not found.
catalog.title.blueprints	BLUEPRINTS  {0}
catalog.title.catalog	CATALOG  {0}
catalog.action.repair	REPAIR
catalog.action.search	SEARCH
catalog.action.search_value	SEARCH: {0}
catalog.prompt.search	SEARCH CATALOG
catalog.action.vanilla_hammer	VANILLA HAMMER
catalog.action.index_mode	INDEX MODE
catalog.action.create_blueprint	+ CREATE BLUEPRINT
catalog.action.select_in_world	SELECT IN WORLD
catalog.action.add_category	+ CATEGORY
catalog.prompt.new_category	NEW BLUEPRINT CATEGORY
catalog.action.delete_category	− DELETE CATEGORY
catalog.empty	No blueprints yet. Select “+ CREATE BLUEPRINT” on the left.\nCreation is free; resources are required only when placing in the world.
catalog.card.parts	{0} parts
catalog.action.place	PLACE
catalog.action.edit	EDIT
catalog.action.rename	RENAME
catalog.prompt.blueprint_name	BLUEPRINT NAME
catalog.action.category	CATEGORY: {0}
catalog.action.refresh_preview	REFRESH PREVIEW
catalog.action.resources	RESOURCES
catalog.action.hide_resources	HIDE RESOURCES
catalog.action.delete	DELETE
catalog.action.confirm_delete	CONFIRM DELETE
catalog.choose_blueprint	Choose a blueprint
catalog.blueprint_summary	{0} parts  ·  {1}
catalog.resources.none	No resources required
catalog.preview.open_failed	Could not open the preview camera.
catalog.preview.title	PREVIEW CAMERA — {0}
catalog.preview.controls	MMB: rotate  ·  wheel: zoom  ·  F: fit
catalog.preview.auto	AUTO VIEW
catalog.preview.reset	RESET
catalog.preview.cancel	CANCEL
catalog.preview.save	SAVE PREVIEW
catalog.preview.save_failed	Could not save the preview.
hud.title.select_blueprint	BUILDWORKS — CREATE BLUEPRINT
hud.title.part_precision	BUILDWORKS — PRECISE PART POSITION
hud.title.blueprint_precision	BUILDWORKS — PRECISE BLUEPRINT PLACEMENT
hud.title.blueprint_editor	BUILDWORKS — BLUEPRINT EDITOR
hud.title.precision	BUILDWORKS — PRECISE PLACEMENT
hud.hint.select_blueprint	LMB: part or selection box  ·  Ctrl: remove  ·  first part defines the axes
hud.hint.auto_align	Arrows: move  ·  Rings: rotate  ·  Auto-align: axes + points  ·  Ctrl+point: manual snap
hud.hint.transform	Arrows: move  ·  Rings: rotate  ·  Ctrl+point: snap
hud.selection_summary	Selected parts: {0}\nPress SAVE SELECTION when the set is ready.
hud.move_step	MOVE {0}
hud.angle_step	ANGLE {0}
hud.array	ARRAY
hud.contour	CONTOUR
hud.array_count	ARRAY: {0}×{1}
hud.contour_count	CONTOUR: {0}
hud.part_count	PARTS: {0}
hud.axes_local	AXES: LOCAL
hud.axes_world	AXES: WORLD
